"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1917-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1917-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1917-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.6","","","","1"
"1917-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.6","","","","1"
"1917-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.9","","","","1"
"1917-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.0","","","","1"
"1917-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.0","","","","1"
"1917-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.0","","","","1"
"1917-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.0","","","","1"
"1917-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.2","","","","1"
"1917-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.2","","","","1"
"1917-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.3","","","","1"
"1918-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.4","","","","1"
"1918-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.5","","","","1"
"1918-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.6","","","","1"
"1918-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.6","","","","1"
"1918-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.7","","","","1"
"1918-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.8","","","","1"
"1918-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.9","","","","1"
"1918-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1918-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1918-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.3","","","","1"
"1918-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1918-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1919-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.5","","","","1"
"1919-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1919-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1919-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1919-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.7","","","","1"
"1919-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.7","","","","1"
"1919-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.8","","","","1"
"1919-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.0","","","","1"
"1919-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.0","","","","1"
"1919-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.0","","","","1"
"1919-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.1","","","","1"
"1919-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.2","","","","1"
"1920-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.6","","","","1"
"1920-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.8","","","","1"
"1920-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.2","","","","1"
"1920-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.3","","","","1"
"1920-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.6","","","","1"
"1920-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.8","","","","1"
"1920-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.8","","","","1"
"1920-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.7","","","","1"
"1920-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.5","","","","1"
"1920-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.5","","","","1"
"1920-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.3","","","","1"
"1920-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.2","","","","1"
"1921-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","11.0","","","","1"
"1921-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.8","","","","1"
"1921-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.5","","","","1"
"1921-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.2","","","","1"
"1921-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","10.0","","","","1"
"1921-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.7","","","","1"
"1921-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.7","","","","1"
"1921-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.7","","","","1"
"1921-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.7","","","","1"
"1921-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.7","","","","1"
"1921-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1921-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1922-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1922-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.3","","","","1"
"1922-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1922-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1922-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1922-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1922-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1922-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1922-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1922-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1922-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1922-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.3","","","","1"
"1923-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1923-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1923-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1924-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1924-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1924-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1924-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1924-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.9","","","","1"
"1924-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.8","","","","1"
"1924-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.8","","","","1"
"1924-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1924-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1924-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1924-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1924-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1925-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1925-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1925-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1925-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1925-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1925-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1925-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1925-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1925-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1925-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1925-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1925-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.3","","","","1"
"1926-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1926-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1927-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1927-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1927-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1927-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1927-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1927-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1927-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1927-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1927-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1927-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1927-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1927-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1928-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1928-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1928-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1928-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1928-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1928-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1928-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.0","","","","1"
"1928-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1928-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1928-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1928-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1928-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.1","","","","1"
"1929-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1929-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.3","","","","1"
"1929-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.3","","","","1"
"1929-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1930-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1930-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.4","","","","1"
"1930-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.3","","","","1"
"1930-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1930-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1930-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1930-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1930-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","9.2","","","","1"
"1930-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.9","","","","1"
"1930-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.9","","","","1"
"1930-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.9","","","","1"
"1930-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.8","","","","1"
"1931-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.7","","","","1"
"1931-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.6","","","","1"
"1931-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.5","","","","1"
"1931-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.4","","","","1"
"1931-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.3","","","","1"
"1931-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.2","","","","1"
"1931-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.1","","","","1"
"1931-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.2","","","","1"
"1931-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","8.1","","","","1"
"1931-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.9","","","","1"
"1931-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.9","","","","1"
"1931-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.9","","","","1"
"1932-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.8","","","","1"
"1932-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.6","","","","1"
"1932-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.6","","","","1"
"1932-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.6","","","","1"
"1932-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1932-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1932-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1932-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1932-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1932-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1932-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1932-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1933-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1933-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1933-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.1","","","","1"
"1933-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.1","","","","1"
"1933-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.1","","","","1"
"1933-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.1","","","","1"
"1933-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.1","","","","1"
"1933-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1933-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1933-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.1","","","","1"
"1933-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.1","","","","1"
"1933-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.1","","","","1"
"1934-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1934-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1934-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1934-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.2","","","","1"
"1935-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1935-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1935-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1935-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1936-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1936-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1936-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.4","","","","1"
"1936-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1936-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
"1936-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690973","2.2","7.3","","","","1"
